experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA59TP,11696,2020-09-28 23:36:00-04:00,2020-10-02 18:38:00-04:00,2020-09-29 12:52:50.034000-04:00,2020-09-30 11:32:41.362000-04:00,5,,,,,,Control 3,123.982,24.7882,5.0,5.0,,,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,81459.171,16278.5002,4.0,6663661
PSA59TP,11789,2020-09-28 23:35:00-04:00,2020-10-02 18:37:00-04:00,2020-09-29 14:58:12.594000-04:00,2020-09-29 15:03:10.633000-04:00,1,,,,,,Treatment 3,76.226,15.2402,5.0,5.0,,,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,109.326,16.901,1.0,6692988
PSA59TP,11807,2020-09-28 23:36:00-04:00,2020-10-02 18:38:00-04:00,2020-10-06 15:09:48.309000-04:00,,1,,,,,,Treatment 2,48.437,12.09875,4.0,4.0,,,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,99.063,99.038,1.0,7258291
PSA59TP,11824,2020-09-29 23:37:00-04:00,2020-10-02 18:39:00-04:00,2020-10-08 11:33:02.290000-04:00,2020-10-08 11:37:42.393000-04:00,1,,,,,,Control 1,105.641,35.1963333333333,3.0,3.0,,,3.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,160.435,26.4926,1.0,7424725
PSA59TP,11835,2020-09-28 23:35:00-04:00,2020-10-02 18:37:00-04:00,2020-09-29 10:12:32.733000-04:00,2020-09-29 10:19:01.208000-04:00,1,,,,,,Treatment 2,44.03,11.005,4.0,4.0,,,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,267.223,48.1686,1.0,6624835
PSA59TP,11842,2020-09-28 23:35:00-04:00,2020-10-02 18:37:00-04:00,2020-09-30 13:44:16.194000-04:00,,2,,,,,,Treatment 1,18.158,6.049,3.0,3.0,,,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,130.215,22.8088,2.0,6797750
PSA59TP,11849,2020-09-29 23:37:00-04:00,2020-10-02 18:39:00-04:00,2020-09-30 10:26:31.577000-04:00,2020-09-30 10:40:07.937000-04:00,4,,,,,,Control 1,533.862,77.0301666666667,6.0,6.0,1.0,1.0,6.0,7.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,252.432,47.08,1.0,6752194
PSA59TP,11851,2020-09-29 23:37:00-04:00,2020-10-02 18:39:00-04:00,2020-09-30 12:23:35.328000-04:00,2020-10-01 15:06:11.164000-04:00,2,,,,,,Control 2,95933.569,23983.3875,4.0,4.0,,,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,213.213,33.695,1.0,6779582
PSA59TP,12269,2020-09-29 23:37:00-04:00,2020-10-02 18:39:00-04:00,2020-09-30 13:58:33.158000-04:00,2020-09-30 14:03:56.136000-04:00,1,,,,,,Treatment 2,98.664,24.64275,4.0,4.0,,,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,185.258,34.7688,1.0,6800826
PSA59TP,12381,2020-09-28 23:35:00-04:00,2020-10-02 18:37:00-04:00,2020-09-29 12:55:06.231000-04:00,2020-09-29 13:02:41.651000-04:00,2,,,,,,Control 1,139.443,46.4643333333333,3.0,3.0,,,3.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,303.939,56.9734,2.0,6664181
