experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA98J7,10061,PRABJD7X,1,,Control 1,2020-09-07 10:30:04.763000-04:00,2020-09-07 10:30:31.853000-04:00,1,27.09,23.069,A,False,0.0,True,3,1,0,0,0,False,False,False,38448117
PSA98J7,10061,PRABJD9F,1,,Control 1,2020-09-07 10:30:35.511000-04:00,2020-09-07 10:31:53.822000-04:00,1,78.311,78.305,D,True,1.0,True,1,1,0,0,0,False,False,False,38448139
PSA98J7,10061,PRABJD7T,1,,Control 1,2020-09-07 10:31:55.064000-04:00,2020-09-07 10:33:17.838000-04:00,1,82.774,82.77,D,True,1.0,True,1,1,0,0,0,False,False,False,38448188
PSA98J7,10061,PRABJD9W,1,,Control 1,2020-09-07 10:33:18.992000-04:00,2020-09-07 10:34:55.836000-04:00,1,96.844,96.839,B,True,1.0,True,1,1,0,0,0,False,False,False,38448224
PSA98J7,10061,PRABJD92,1,,Posttest,2020-09-07 10:34:57.218000-04:00,2020-09-07 10:39:50.744000-04:00,1,293.526,293.519,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,38448278
PSA98J7,10061,PRABJJJJ,1,,Posttest,2020-09-07 10:39:52.322000-04:00,2020-09-07 10:40:54.647000-04:00,1,62.325,62.319,78,True,1.0,True,1,0,0,0,0,False,False,False,38448438
PSA98J7,10061,PRABJJJR,1,,Posttest,2020-09-07 10:40:55.297000-04:00,2020-09-07 10:41:31.915000-04:00,1,36.618,17.441,360,False,0.666666666666667,True,2,0,0,0,0,False,False,False,38448459
PSA98J7,10061,PRABJJJX,1,,Posttest,2020-09-07 10:41:32.546000-04:00,2020-09-07 10:43:15.557000-04:00,1,103.011,103.008,33,True,1.0,True,1,0,0,0,0,False,False,False,38448481
PSA98J7,10067,PRABJD7H,1,,Control 1,2020-07-26 08:32:34.017000-04:00,2020-07-26 08:34:10.256000-04:00,1,96.239,96.203,B,True,1.0,True,1,1,0,0,0,False,False,False,31929098
PSA98J7,10067,PRABJD68,1,,Control 1,2020-07-26 08:34:11.754000-04:00,2020-07-26 08:34:50.322000-04:00,1,38.568,38.558,D,True,1.0,True,1,1,0,0,0,False,False,False,31929099
PSA98J7,10067,PRABJD73,1,,Control 1,2020-07-26 08:34:51.627000-04:00,2020-07-26 08:36:20.674000-04:00,1,89.047,89.015,C,True,1.0,True,1,1,0,0,0,False,False,False,31929100
PSA98J7,10067,PRABJD92,1,,Posttest,2020-07-26 08:36:22.386000-04:00,2020-07-26 08:36:31.646000-04:00,1,9.26,9.246,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,31929101
PSA98J7,10067,PRABJJJJ,1,,Posttest,2020-07-26 08:36:34.024000-04:00,2020-07-26 08:37:46.036000-04:00,1,72.012,72.004,78,True,1.0,True,1,0,0,0,0,False,False,False,31929102
PSA98J7,10067,PRABJJJR,1,,Posttest,2020-07-26 08:37:47.298000-04:00,2020-07-26 08:39:07.100000-04:00,1,79.802,67.029,64,False,0.0,True,2,0,0,0,0,False,False,True,31929103
PSA98J7,10067,PRABJJJX,1,,Posttest,2020-07-26 08:39:08.259000-04:00,2020-07-26 08:44:08.851000-04:00,1,300.592,300.583,33,True,1.0,True,1,0,0,0,0,False,False,False,31929104
PSA98J7,10074,PRABJJJ8,1,,Unknown,2020-06-12 10:35:55.748000-04:00,2020-06-12 10:36:05.167000-04:00,1,9.419,9.402,Red or Blue,False,0.0,True,1,0,0,0,0,False,False,False,31356732
PSA98J7,10074,PRABH68A,1,,Unknown,2020-06-12 10:36:08.525000-04:00,2020-06-12 10:36:14.733000-04:00,1,6.208,6.202,Blue,False,0.0,True,1,0,0,0,0,False,False,False,31356761
PSA98J7,10074,PRABKFYE,1,,Treatment 3,2020-06-12 10:36:16.463000-04:00,2020-06-12 10:36:39.220000-04:00,1,22.757,17.778,A,False,0.0,True,2,1,0,0,0,False,False,False,31356777
