experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSARZX2,98151,,,,,assignment_started,2020-11-09 12:35:38.916000-05:00,421641175
PSARZX2,98151,PRA4PVV,1.0,,Area of rectangles 3.MD.C.7 EX,problem_started,2020-11-09 12:35:39.182000-05:00,421641177
PSARZX2,98151,PRA4PVV,1.0,,Area of rectangles 3.MD.C.7 EX,correct_response,2020-11-09 12:35:42.135000-05:00,421641550
PSARZX2,98151,PRA4PVV,1.0,,Area of rectangles 3.MD.C.7 EX,problem_finished,2020-11-09 12:35:42.140000-05:00,421641671
PSARZX2,98151,,,,Area of rectangles 3.MD.C.7 EX,continue_selected,2020-11-09 12:35:42.930000-05:00,421641672
PSARZX2,98151,PRA3UCY,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_started,2020-11-09 12:35:43.249000-05:00,421641674
PSARZX2,98151,PRA3UCY,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,correct_response,2020-11-09 12:35:59.006000-05:00,421643565
PSARZX2,98151,PRA3UCY,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_finished,2020-11-09 12:35:59.010000-05:00,421643772
PSARZX2,98151,,,,Area of rectangles 3.MD.C.7 EX/Skill Builder,continue_selected,2020-11-09 12:36:00.702000-05:00,421643773
PSARZX2,98151,PRA3UEH,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_started,2020-11-09 12:36:00.833000-05:00,421643774
PSARZX2,98151,PRA3UEH,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,correct_response,2020-11-09 12:36:03.205000-05:00,421644037
PSARZX2,98151,PRA3UEH,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_finished,2020-11-09 12:36:03.209000-05:00,421644203
PSARZX2,98151,,,,Area of rectangles 3.MD.C.7 EX/Skill Builder,continue_selected,2020-11-09 12:36:04.536000-05:00,421644204
PSARZX2,98151,PRA3UCU,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_started,2020-11-09 12:36:04.690000-05:00,421644205
PSARZX2,98151,PRA3UCU,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,correct_response,2020-11-09 12:36:08.976000-05:00,421644695
PSARZX2,98151,PRA3UCU,1.0,,Area of rectangles 3.MD.C.7 EX/Skill Builder,problem_finished,2020-11-09 12:36:08.983000-05:00,421644937
PSARZX2,98151,,,,Area of rectangles 3.MD.C.7 EX,continue_selected,2020-11-09 12:36:10.492000-05:00,421644939
PSARZX2,98151,PRA36A8,1.0,,Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice,problem_started,2020-11-09 12:36:10.842000-05:00,421644942
PSARZX2,98151,PRA36A8,1.0,,Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice,correct_response,2020-11-09 12:36:14.508000-05:00,421645327
PSARZX2,98151,PRA36A8,1.0,,Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice,problem_finished,2020-11-09 12:36:14.511000-05:00,421645477
PSARZX2,98151,,,,Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice,continue_selected,2020-11-09 12:36:15.367000-05:00,421645478
PSARZX2,98151,PRA42F7,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",problem_started,2020-11-09 12:36:15.809000-05:00,421645481
PSARZX2,98151,PRA42F7,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",correct_response,2020-11-09 12:36:21.069000-05:00,421646134
PSARZX2,98151,PRA42F7,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",problem_finished,2020-11-09 12:36:21.071000-05:00,421646322
PSARZX2,98151,,,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",continue_selected,2020-11-09 12:36:22.396000-05:00,421646324
PSARZX2,98151,PRA32QH,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",problem_started,2020-11-09 12:36:22.543000-05:00,421646325
PSARZX2,98151,PRA32QH,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",correct_response,2020-11-09 12:36:46.291000-05:00,421649258
PSARZX2,98151,PRA32QH,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",problem_finished,2020-11-09 12:36:46.296000-05:00,421649393
PSARZX2,98151,,,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",continue_selected,2020-11-09 12:36:47.695000-05:00,421649394
PSARZX2,98151,PRA4QZ8,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",problem_started,2020-11-09 12:36:47.834000-05:00,421649395
PSARZX2,98151,PRA4QZ8,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",wrong_response,2020-11-09 12:37:12.283000-05:00,421652234
PSARZX2,98151,PRA4QZ8,1.0,,"Area of rectangles 3.MD.C.7 EX/Choice or No Choice/No Choice/Questions/Square, Backwards, Compound, Regular [control1]",correct_response,2020-11-09 12:37:30.282000-05:00,421654633
