experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSATZEJ,28406,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 13:01:22.629000-04:00,2020-09-30 13:02:52.088000-04:00,1,,,,,,Treatment 2,58.076,19.3543333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6788335
PSATZEJ,29147,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-10-01 09:59:52.925000-04:00,2020-10-01 10:04:16.508000-04:00,1,,,,,,Treatment 2,150.521,50.1673333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6862774
PSATZEJ,29156,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:40:13.561000-04:00,2020-09-30 09:41:46.096000-04:00,1,,,,,,Treatment 1,66.194,22.0633333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6742048
PSATZEJ,29192,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 12:44:50.100000-04:00,2020-09-30 12:56:29.318000-04:00,1,,,,,,Treatment 1,616.941,205.627666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6784732
PSATZEJ,29612,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 10:59:16.708000-04:00,2020-09-30 11:03:11.184000-04:00,1,,,,,,Treatment 2,185.436,61.8073333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6759248
PSATZEJ,29613,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:51:54.549000-04:00,2020-09-30 09:52:34.134000-04:00,1,,,,,,Treatment 2,26.544,8.84233333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6744419
PSATZEJ,29614,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:34:30.057000-04:00,2020-09-30 11:08:03.103000-04:00,1,,,,,,Treatment 1,5547.347,904.378666666667,6.0,3.0,1.0,1.0,6.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,6740975
PSATZEJ,29634,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 10:04:26.841000-04:00,2020-09-30 10:12:40.981000-04:00,1,,,,,,Control 1,375.296,125.083,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6747100
PSATZEJ,29638,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 12:53:26.277000-04:00,2020-09-30 13:08:07.420000-04:00,1,,,,,,Control 1,848.202,282.719666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6786775
PSATZEJ,29647,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 13:40:19.884000-04:00,2020-09-30 13:43:40.327000-04:00,1,,,,,,Treatment 2,168.839,25.592,4.0,3.0,1.0,1.0,4.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,6796869
PSATZEJ,29669,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-10-01 09:40:44.841000-04:00,2020-10-01 09:43:36.212000-04:00,1,,,,,,Treatment 1,117.928,39.3,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6858966
PSATZEJ,29777,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:11:00.507000-04:00,2020-09-30 09:11:38.912000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,6736922
PSATZEJ,39955,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:27:54.019000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,6739859
PSATZEJ,39992,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 09:19:19.703000-04:00,2020-09-30 09:20:27.928000-04:00,1,,,,,,Treatment 2,42.754,14.245,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6738306
PSATZEJ,40012,2020-09-30 09:03:06.618000-04:00,2020-09-30 15:00:00-04:00,2020-09-30 10:31:24.198000-04:00,2020-09-30 21:24:34.306000-04:00,2,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,6753215
PSATZEJ,81670,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 07:34:15.289000-04:00,2020-05-05 07:36:09.193000-04:00,1,,,,,,Control 1,87.783,12.64125,4.0,3.0,1.0,,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2828550
PSATZEJ,81671,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:34:59.952000-04:00,2020-05-05 08:37:07.405000-04:00,1,,,,,,Treatment 1,24.994,8.325,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2830211
PSATZEJ,81675,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-26 09:34:19.578000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3589393
PSATZEJ,81676,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:07:39.452000-04:00,2020-05-05 08:14:02.893000-04:00,2,,,,,,Treatment 2,36.739,12.2413333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829083
PSATZEJ,81677,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 07:44:48.741000-04:00,2020-05-05 07:46:51.151000-04:00,1,,,,,,Control 2,83.262,27.746,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2828630
PSATZEJ,81678,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:09:20.114000-04:00,2020-05-05 08:11:41.535000-04:00,1,,,,,,Control 1,38.301,12.7603333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829139
PSATZEJ,81679,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:19:16.910000-04:00,2020-05-05 08:26:40.246000-04:00,2,,,,,,Treatment 1,317.96,105.977666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829512
PSATZEJ,81682,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:05:45.215000-04:00,2020-05-05 08:11:18.486000-04:00,1,,,,,,Treatment 2,54.115,18.035,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829008
PSATZEJ,81684,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:11:05.835000-04:00,2020-05-05 08:14:02.273000-04:00,2,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,2829205
PSATZEJ,81685,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:22:08.230000-04:00,2020-05-05 08:26:05.920000-04:00,1,,,,,,Control 1,198.831,66.2663333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829631
PSATZEJ,81686,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:10:21.379000-04:00,2020-05-05 08:18:41.743000-04:00,1,,,,,,Control 1,147.734,49.2376666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829177
PSATZEJ,81687,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:06:08.813000-04:00,2020-05-05 08:10:33.267000-04:00,1,,,,,,Treatment 2,64.385,21.4433333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829023
PSATZEJ,81688,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:09:09.877000-04:00,2020-05-05 08:17:14.427000-04:00,1,,,,,,Control 1,330.519,33.34075,4.0,3.0,1.0,,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829131
PSATZEJ,81689,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:11:37.549000-04:00,2020-05-05 08:15:38.573000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,2829228
PSATZEJ,81691,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:29:16.998000-04:00,2020-05-05 08:37:11.724000-04:00,1,,,,,,Treatment 1,254.23,13.6741428571429,7.0,5.0,2.0,,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829939
PSATZEJ,81692,2020-05-05 07:12:50.067000-04:00,2020-05-11 07:32:00-04:00,2020-05-05 08:08:27.039000-04:00,2020-05-05 08:11:21.290000-04:00,1,,,,,,Treatment 1,65.433,21.8033333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2829099
PSATZEJ,83440,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 09:44:35.713000-05:00,2020-11-20 09:47:05.094000-05:00,1,,,,,,Treatment 1,50.717,16.903,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10138611
PSATZEJ,83441,2020-10-13 08:00:00-04:00,2020-10-14 15:00:00-04:00,2020-10-13 11:01:05.697000-04:00,,1,,,,,,Control 2,78.912,23.9446666666667,4.0,2.0,1.0,,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7664229
PSATZEJ,83442,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-13 11:50:16.179000-04:00,2020-10-13 11:51:09.729000-04:00,1,,,,,,Control 1,27.327,9.105,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7674370
PSATZEJ,83443,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-13 09:59:00.832000-04:00,2020-10-13 10:04:18.523000-04:00,1,,,,,,Treatment 1,201.266,16.871625,8.0,6.0,2.0,,8.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7652641
PSATZEJ,83444,2020-10-13 08:00:00-04:00,2020-10-14 15:00:00-04:00,2020-10-14 10:49:40.645000-04:00,2020-10-14 10:51:42.182000-04:00,1,,,,,,Control 1,59.795,19.9293333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7764492
PSATZEJ,83445,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-14 10:29:50.250000-04:00,2020-10-14 10:34:38.938000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,7761022
PSATZEJ,83446,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 11:44:28.222000-05:00,2020-11-20 11:50:37.208000-05:00,1,,,,,,Control 2,338.708,55.8486,5.0,3.0,1.0,0.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,10154546
PSATZEJ,83447,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 09:54:42.027000-05:00,2020-11-20 09:56:38.600000-05:00,1,,,,,,Treatment 2,72.669,24.2193333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10139882
PSATZEJ,83448,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 15:34:27.433000-05:00,2020-11-20 15:36:52.034000-05:00,1,,,,,,Treatment 1,89.174,29.7223333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10181771
PSATZEJ,83449,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-14 14:15:39.592000-04:00,2020-10-14 14:19:11.599000-04:00,1,,,,,,Control 1,164.414,27.1175,4.0,3.0,1.0,,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7802435
PSATZEJ,83452,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 10:27:23.859000-05:00,2020-11-20 10:29:33.824000-05:00,1,,,,,,Control 1,96.121,32.0383333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10144220
PSATZEJ,83454,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-30 12:21:41.515000-05:00,2020-11-30 12:23:12.727000-05:00,1,,,,,,Treatment 1,56.96,18.984,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10350920
PSATZEJ,83455,2020-10-13 08:00:00-04:00,2020-10-14 15:00:00-04:00,2020-10-13 11:27:22.812000-04:00,2020-10-13 11:29:43.684000-04:00,1,,,,,,Treatment 2,41.697,13.897,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7669539
PSATZEJ,83456,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-13 14:23:44.452000-04:00,2020-10-13 14:25:49.666000-04:00,1,,,,,,Control 2,29.807,9.93333333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7706620
PSATZEJ,83457,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 09:54:04.615000-05:00,2020-11-20 09:58:52.973000-05:00,1,,,,,,Treatment 1,213.708,71.2333333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10139813
PSATZEJ,83458,2020-12-07 08:00:00-05:00,2020-12-07 15:00:00-05:00,2020-12-07 09:13:46.777000-05:00,2020-12-07 09:26:25.834000-05:00,1,,,,,,Treatment 1,659.582,219.858666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10768955
PSATZEJ,83477,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-14 11:07:14.254000-04:00,2020-10-14 11:09:06.054000-04:00,1,,,,,,Control 1,83.622,27.871,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7767589
PSATZEJ,83478,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-13 09:13:43.810000-04:00,2020-10-13 09:21:06.654000-04:00,1,,,,,,Control 2,273.513,91.1673333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7645598
PSATZEJ,83479,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 09:24:12.589000-05:00,2020-11-20 09:27:54.200000-05:00,1,,,,,,Treatment 2,62.066,20.6866666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10136179
PSATZEJ,83480,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 10:29:58.728000-05:00,2020-11-20 10:32:03.138000-05:00,1,,,,,,Treatment 2,68.113,22.701,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10144530
PSATZEJ,83481,2020-11-20 08:00:00-05:00,2020-11-20 15:00:00-05:00,2020-11-20 10:43:56.283000-05:00,2020-11-20 10:48:59.919000-05:00,1,,,,,,Treatment 1,271.524,90.5053333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10146321
PSATZEJ,83483,2020-10-13 08:00:00-04:00,2020-10-13 15:00:00-04:00,2020-10-13 09:54:21.528000-04:00,2020-10-13 09:57:47.740000-04:00,1,,,,,,Control 1,128.161,21.675,4.0,3.0,1.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,7651813
PSATZEJ,83485,2020-10-13 08:00:00-04:00,2020-10-14 15:00:00-04:00,2020-10-14 10:04:52.481000-04:00,2020-10-14 10:08:08.361000-04:00,1,,,,,,Control 2,149.305,26.61675,4.0,3.0,1.0,,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,7756411
