experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAUTWU,28951,PRA4PJD,1,,Unknown,2021-01-27 13:23:54.058000-05:00,2021-01-27 13:24:19.271000-05:00,1,25.213,25.204,"Yes, I can solve this problem",True,1.0,True,1,0,0,0,0,False,False,False,96344149
PSAUTWU,28951,PRA4ZB7,1,,Unknown,2021-01-27 13:24:20.806000-05:00,2021-01-27 13:24:28.362000-05:00,1,7.556,7.551,I am ready to work until I answer three correctly in a row,True,1.0,True,1,0,0,0,0,False,False,False,96344530
PSAUTWU,28951,PRA3WBV,1,,Unknown,2021-01-27 13:24:31.076000-05:00,2021-01-27 13:25:20.700000-05:00,1,49.624,25.11,3,False,0.0,True,4,1,0,0,0,False,False,False,96344672
PSAUTWU,28951,PRA3WAU,1,,Unknown,2021-01-27 13:25:23.279000-05:00,2021-01-27 13:25:45.592000-05:00,1,22.313,22.308,3/10,True,1.0,True,1,1,0,0,0,False,False,False,96345435
PSAUTWU,28951,PRA3V9E,1,,Unknown,2021-01-27 13:25:46.863000-05:00,2021-01-27 13:26:12.159000-05:00,1,25.296,25.292,1/2,True,1.0,True,1,1,0,0,0,False,False,False,96345789
PSAUTWU,28951,PRA3WBE,1,,Unknown,2021-01-27 13:26:18.482000-05:00,2021-01-27 13:26:37.080000-05:00,1,18.598,18.593,2/3,True,1.0,True,1,1,0,0,0,False,False,False,96346248
PSAUTWU,28951,PRA5Z28,1,,Unknown,2021-01-27 13:26:39.780000-05:00,2021-01-27 13:26:59.578000-05:00,1,19.798,19.792,Harder,True,1.0,True,1,0,0,0,0,False,False,False,96346585
PSAUTWU,28951,PRA4PJK,1,,Treatment 1,2021-01-27 13:27:01.308000-05:00,2021-01-27 13:27:09.362000-05:00,1,8.054,8.05,1/6,True,1.0,True,1,1,0,0,0,False,False,False,96346942
PSAUTWU,28951,PRA3SZM,1,,Treatment 1,2021-01-27 13:27:10.475000-05:00,2021-01-27 13:27:39.888000-05:00,1,29.413,29.407,11/6,True,1.0,True,1,1,0,0,0,False,False,False,96347097
PSAUTWU,28951,PRA3SZA,1,,Treatment 1,2021-01-27 13:27:40.809000-05:00,2021-01-27 13:27:57.978000-05:00,1,17.169,17.164,12/8,True,1.0,True,1,1,0,0,0,False,False,False,96347637
PSAUTWU,28952,PRA4PJD,1,,Unknown,2021-01-26 10:16:37.440000-05:00,,1,,,,,,,0,0,0,0,0,False,False,False,95613506
PSAUTWU,28953,PRA4PJD,1,,Unknown,2021-02-09 08:10:56.478000-05:00,2021-02-09 08:11:05.507000-05:00,1,9.029,9.019,"Yes, I can solve this problem",True,1.0,True,1,0,0,0,0,False,False,False,100579050
PSAUTWU,28953,PRA4ZB7,1,,Unknown,2021-02-09 08:11:08.563000-05:00,2021-02-09 08:11:18.728000-05:00,1,10.165,10.158,I am ready to work until I answer three correctly in a row,True,1.0,True,1,0,0,0,0,False,False,False,100579077
PSAUTWU,28953,PRA3V95,1,,Unknown,2021-02-09 08:11:20.790000-05:00,2021-02-09 08:11:29.433000-05:00,1,8.643,8.637,1/8,True,1.0,True,1,1,0,0,0,False,False,False,100579118
PSAUTWU,28953,PRA3V9Z,1,,Unknown,2021-02-09 08:11:31.216000-05:00,2021-02-09 08:11:39.245000-05:00,1,8.029,8.024,6/7,True,1.0,True,1,1,0,0,0,False,False,False,100579154
PSAUTWU,28953,PRA3WAB,1,,Unknown,2021-02-09 08:11:39.883000-05:00,2021-02-09 08:11:47.272000-05:00,1,7.389,7.384,3/6,True,1.0,True,1,1,0,0,0,False,False,False,100579180
PSAUTWU,28953,PRA5Z27,1,,Unknown,2021-02-09 08:11:48.347000-05:00,2021-02-09 08:11:51.216000-05:00,1,2.869,2.859,OK,True,1.0,True,1,0,0,0,0,False,False,False,100579208
PSAUTWU,28953,PRA4PJK,1,,Control 1,2021-02-09 08:11:53.833000-05:00,2021-02-09 08:12:02.670000-05:00,1,8.837,8.832,1/6,True,1.0,True,1,1,0,0,0,False,False,False,100579226
PSAUTWU,28953,PRA4PJF,1,,Control 1,2021-02-09 08:12:03.293000-05:00,2021-02-09 08:13:02.124000-05:00,1,58.831,17.308,11/12,False,0.0,True,3,1,1,0,0,False,False,False,100579247
PSAUTWU,28953,PRA4PJG,1,,Control 1,2021-02-09 08:13:03.512000-05:00,2021-02-09 08:13:21.872000-05:00,1,18.36,18.354,12/8,True,1.0,True,1,1,0,0,0,False,False,False,100579419
PSAUTWU,29344,PRA4PJD,1,,Unknown,2021-01-27 12:58:57.172000-05:00,2021-01-27 12:59:09.303000-05:00,1,12.131,12.122,"Yes, I can solve this problem",True,1.0,True,1,0,0,0,0,False,False,False,96320389
PSAUTWU,29344,PRA4ZB7,1,,Unknown,2021-01-27 12:59:10.731000-05:00,2021-01-27 12:59:14.686000-05:00,1,3.955,3.951,I am ready to work until I answer three correctly in a row,True,1.0,True,1,0,0,0,0,False,False,False,96320644
PSAUTWU,29344,PRA3WAY,1,,Unknown,2021-01-27 12:59:17.023000-05:00,2021-01-27 12:59:40.443000-05:00,1,23.42,23.414,2/3,True,1.0,True,1,1,0,0,0,False,False,False,96320760
