experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAUTWU,120325,48,48,45,45,725,27.382,29.837,0.9005059021922428,1.129655172413793,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,120233,49,49,45,44,752,25.041,30.893,0.7987117552334944,1.2127659574468086,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,120164,51,50,45,43,813,16.102,21.781,0.6501457725947521,1.4612546125461254,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,119946,52,52,46,46,805,17.249,24.251,0.7078986587183308,1.3490683229813665,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,126186,51,51,45,45,766,17.8635,20.9685,0.7949526813880127,1.2258485639686685,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,126136,49,47,44,44,745,16.645,20.346,0.7142857142857143,1.3194630872483222,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,125344,50,49,42,42,721,13.199,15.597,0.7891268533772653,1.2510402219140082,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,124006,47,39,39,32,668,14.358,21.488,0.5629370629370629,1.4476047904191618,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,123380,41,39,42,29,538,17.014,20.0875,0.8241758241758241,1.1821561338289963,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,151688,26,19,16,13,315,24.048,33.586,0.5259259259259259,1.4666666666666668,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,122081,14,4,12,4,137,14.468,28.844,0.3902439024390244,1.8248175182481752,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,131215,45,41,36,27,556,17.977,24.7115,0.6632016632016632,1.4658273381294964,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,121895,51,47,43,36,692,28.551,32.655,0.7947826086956522,1.1979768786127167,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
PSAUTWU,349710,21,12,12,3,117,21.941,26.162,0.7589285714285714,1.2820512820512822,9377,2020-03-16 13:07:10.571000-04:00,30,48,48,72.2916666666667,90.4899135446686,68.4722222222222,86.105476673428,15360,25.4815,20.2245,0.7209845770369216,1.3366536458333333,113780,2020-03-13 09:57:37.711000-04:00,1340.0,North Carolina,No,None
