experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAYN42,3565,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 12:29:58.489000-04:00,2020-10-29 12:57:39.639000-04:00,3,,,,,,Treatment 2,372.81,21.3370625,16.0,15.0,1.0,,16.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,50.046,16.6736666666667,1.0,8826930
PSAYN42,3580,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-11-12 10:34:56.826000-05:00,,1,,,,,,Treatment 2,229.363,28.665375,9.0,8.0,,,8.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,9612455
PSAYN42,3594,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 10:24:35.967000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8805082
PSAYN42,3600,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 10:32:14.899000-04:00,2020-10-29 10:46:41.462000-04:00,3,,,,,,Treatment 2,216.519,14.43,15.0,15.0,,,15.0,15.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,52.93,17.6386666666667,1.0,8806348
PSAYN42,3619,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 10:37:48.698000-04:00,2020-10-29 10:41:00.795000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8807257
PSAYN42,3630,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 12:41:07.694000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8829075
PSAYN42,3634,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 18:19:55.300000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8867304
PSAYN42,3645,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 10:33:39.836000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8806586
PSAYN42,3663,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-30 13:28:22.387000-04:00,2020-10-30 13:31:22.139000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8910287
PSAYN42,3698,2020-10-29 09:00:00-04:00,2020-10-29 23:59:00-04:00,2020-10-29 10:06:51.020000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,8802360
