experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAYN42,254805,0,0,3,0,2,30.125,30.1345,1.0,1.0,16679,2020-04-01 13:06:23.802000-04:00,7,0,3,0.0,0.0,52.3809523809524,27.2727272727273,95,34.454,34.435,0.38461538461538464,1.1684210526315788,172411,2020-03-30 15:36:54.702000-04:00,583.0,Iowa,Yes,None
PSAYN42,255070,1,0,3,3,86,31.3475,34.418,0.391304347826087,1.1511627906976745,16679,2020-04-01 13:06:23.802000-04:00,7,0,3,0.0,0.0,52.3809523809524,27.2727272727273,95,34.454,34.435,0.38461538461538464,1.1684210526315788,172411,2020-03-30 15:36:54.702000-04:00,583.0,Iowa,Yes,None
PSAYN42,216036,1,1,9,7,89,74.319,74.672,0.8,1.1235955056179776,16681,2020-04-01 13:06:23.805000-04:00,17,0,10,0.0,0.0,53.5294117647059,72.5274725274725,560,88.4185,80.647,0.7365269461077845,1.1803571428571429,172411,2020-03-30 15:36:54.702000-04:00,583.0,Iowa,Yes,None
PSAYN42,378470,1,0,0,0,1,38.471,47.361,0.0,2.0,16682,2020-04-01 13:06:23.806000-04:00,11,0,11,0.0,0.0,11.5702479338843,14.2857142857143,61,126.36,115.055,0.5161290322580645,1.4262295081967213,172411,2020-03-30 15:36:54.702000-04:00,583.0,Iowa,Yes,None
PSAYN42,378569,0,0,0,0,0,,,,,16682,2020-04-01 13:06:23.806000-04:00,11,0,11,0.0,0.0,11.5702479338843,14.2857142857143,61,126.36,115.055,0.5161290322580645,1.4262295081967213,172411,2020-03-30 15:36:54.702000-04:00,583.0,Iowa,Yes,None
PSAYN42,388938,2,2,0,0,21,56.902,61.782,0.38095238095238093,2.0952380952380953,19801,2020-04-07 12:01:15.412000-04:00,3,0,5,0.0,0.0,13.3333333333333,50.0,27,34.072,27.499,0.36363636363636365,1.4814814814814814,139629,2020-03-23 11:50:44.245000-04:00,583.0,Iowa,Yes,None
PSAYN42,261307,0,0,0,0,0,,,,,19804,2020-04-07 12:01:15.418000-04:00,10,0,11,0.0,0.0,43.6363636363636,79.1666666666667,311,62.969,55.576,0.5459770114942529,1.3215434083601285,139629,2020-03-23 11:50:44.245000-04:00,583.0,Iowa,Yes,None
PSAYN42,288069,1,1,0,0,12,31.0305,27.6885,0.6666666666666666,1.1666666666666667,23247,2020-04-16 01:09:49.558000-04:00,11,2,0,40.9090909090909,66.6666666666667,0.0,0.0,45,74.343,74.307,0.7111111111111111,1.222222222222222,97953,2020-01-24 00:46:55.595000-05:00,2472.0,Wisconsin,Yes,None
PSAYN42,134212,0,0,0,0,0,,,,,23247,2020-04-16 01:09:49.558000-04:00,11,2,0,40.9090909090909,66.6666666666667,0.0,0.0,45,74.343,74.307,0.7111111111111111,1.222222222222222,97953,2020-01-24 00:46:55.595000-05:00,2472.0,Wisconsin,Yes,None
PSAYN42,377534,0,0,0,0,0,,,,,23247,2020-04-16 01:09:49.558000-04:00,11,2,0,40.9090909090909,66.6666666666667,0.0,0.0,45,74.343,74.307,0.7111111111111111,1.222222222222222,97953,2020-01-24 00:46:55.595000-05:00,2472.0,Wisconsin,Yes,None
