experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAZ2G4,14574,,,,,assignment_started,2021-04-15 14:32:07.637000-04:00,696791322
PSAZ2G4,14574,PRABAKYN,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX,problem_started,2021-04-15 14:32:07.999000-04:00,696791324
PSAZ2G4,14574,PRABAKYN,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX,correct_response,2021-04-15 14:32:11-04:00,696791533
PSAZ2G4,14574,PRABAKYN,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX,problem_finished,2021-04-15 14:32:11.005000-04:00,696791693
PSAZ2G4,14574,,,,Surface Area Rectangular Prism 7.G.B.6 EX,continue_selected,2021-04-15 14:32:12.840000-04:00,696791694
PSAZ2G4,14574,PRACJDF,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/CO - First Question [pretest],problem_started,2021-04-15 14:32:13.267000-04:00,696791698
PSAZ2G4,14574,PRACJDF,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/CO - First Question [pretest],correct_response,2021-04-15 14:32:45.760000-04:00,696793782
PSAZ2G4,14574,PRACJDF,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/CO - First Question [pretest],problem_finished,2021-04-15 14:32:45.774000-04:00,696793941
PSAZ2G4,14574,,,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE,continue_selected,2021-04-15 14:32:47.887000-04:00,696793943
PSAZ2G4,14574,PRABAMDU,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/Right - No Choice [ignore]/CO after right on 1st,problem_started,2021-04-15 14:32:48.494000-04:00,696793947
PSAZ2G4,14574,PRABAMDU,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/Right - No Choice [ignore]/CO after right on 1st,correct_response,2021-04-15 14:32:50.864000-04:00,696794089
PSAZ2G4,14574,PRABAMDU,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/Right - No Choice [ignore]/CO after right on 1st,problem_finished,2021-04-15 14:32:50.867000-04:00,696794276
PSAZ2G4,14574,,,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/Right - No Choice [ignore]/CO after right on 1st,continue_selected,2021-04-15 14:32:52.537000-04:00,696794277
PSAZ2G4,14574,PRABAFDB,1.0,,Surface Area Rectangular Prism 7.G.B.6 EX/Experiment/ITE/Right - No Choice [ignore]/CO after right on 1st,problem_started,2021-04-15 14:32:52.930000-04:00,696794279
